# idx, VEHICLEID, portNo, state, slotNo, _trayId
'5', 'VEHICLE01', '0', '1', '0', NULL
'6', 'VEHICLE01', '0', '1', '1', NULL
'7', 'VEHICLE01', '0', '1', '2', NULL
'8', 'VEHICLE01', '0', '1', '3', NULL
'9', 'VEHICLE01', '0', '1', '4', NULL
'10', 'VEHICLE01', '0', '1', '5', NULL
'11', 'VEHICLE01', '0', '1', '6', NULL
'12', 'VEHICLE01', '0', '1', '7', NULL
'13', 'VEHICLE01', '0', '1', '8', NULL
'14', 'VEHICLE01', '0', '1', '9', NULL
'15', 'VEHICLE01', '1', '1', '0', NULL
'16', 'VEHICLE01', '1', '1', '1', NULL
'17', 'VEHICLE01', '1', '1', '2', NULL
'18', 'VEHICLE01', '1', '1', '3', NULL
'19', 'VEHICLE01', '1', '1', '4', NULL
'20', 'VEHICLE01', '1', '1', '5', NULL
'21', 'VEHICLE01', '1', '1', '6', NULL
'22', 'VEHICLE01', '1', '1', '7', NULL
'23', 'VEHICLE01', '1', '1', '8', NULL
'24', 'VEHICLE01', '1', '1', '9', NULL
'25', 'VEHICLE01', '2', '1', '0', NULL
'26', 'VEHICLE01', '2', '1', '1', NULL
'27', 'VEHICLE01', '2', '1', '2', NULL
'28', 'VEHICLE01', '2', '1', '3', NULL
'29', 'VEHICLE01', '2', '1', '4', NULL
'30', 'VEHICLE01', '2', '1', '5', NULL
'31', 'VEHICLE01', '2', '1', '6', NULL
'32', 'VEHICLE01', '2', '1', '7', NULL
'33', 'VEHICLE01', '2', '1', '8', NULL
'34', 'VEHICLE01', '2', '1', '9', NULL
'35', 'VEHICLE01', '3', '1', '0', NULL
'36', 'VEHICLE01', '3', '1', '1', NULL
'37', 'VEHICLE01', '3', '1', '2', NULL
'38', 'VEHICLE01', '3', '1', '3', NULL
'39', 'VEHICLE01', '3', '1', '4', NULL
'40', 'VEHICLE01', '3', '1', '5', NULL
'41', 'VEHICLE01', '3', '1', '6', NULL
'42', 'VEHICLE01', '3', '1', '7', NULL
'43', 'VEHICLE01', '3', '1', '8', NULL
'44', 'VEHICLE01', '3', '1', '9', NULL
